S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
1,06-D-48-13,Kri-D-48-Budawada,Annavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,06-D-48-13,Kri-D-48-Budawada,Budawada,0,0,0,0,0,0,3,0.17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3,06-D-48-13,Kri-D-48-Budawada,K.Agraharam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4,06-D-48-13,Kri-D-48-Budawada,Mukteswarapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,06-D-48-02,Kri-D-48-Jaggaiahpeta,Buchavaram,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,06-D-48-02,Kri-D-48-Jaggaiahpeta,Gandrai,0,0,0,0,0,0,0,0,5,0.1,,,,,,,,,,,,,,,,,,,,
7,06-D-48-02,Kri-D-48-Jaggaiahpeta,Takkellapadu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8,06-D-48-02,Kri-D-48-Jaggaiahpeta,Garikapadu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9,06-D-48-02,Kri-D-48-Jaggaiahpeta,R.C.Peta,0,0,0,0,0,0,0,0,40,0.8,,,,,,,,,,,,,,,,,,,,
10,06-D-48-02,Kri-D-48-Jaggaiahpeta,Anumanchipalli,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
11,06-D-48-02,Kri-D-48-Jaggaiahpeta,Balusupadu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12,06-D-48-02,Kri-D-48-Jaggaiahpeta,S.M.peta,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
13,06-D-48-02,Kri-D-48-Jaggaiahpeta,Tirumalagiri,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
14,06-D-48-02,Kri-D-48-Jaggaiahpeta,Chillakallu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
15,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jaggaiahpeta,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
16,06-D-48-02,Kri-D-48-Jaggaiahpeta,Jayanthipuram,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
17,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravirala,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
18,06-D-48-02,Kri-D-48-Jaggaiahpeta,Torraguntapalem,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
19,06-D-48-02,Kri-D-48-Jaggaiahpeta,Ravikampadu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
20,06-D-48-03,Kri-D-48-Jaggaiahpeta,Tripuravaram,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
21,06-D-48-02,Kri-D-48-Jaggaiahpeta,Dachupalem,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
22,06-D-48-02,Kri-D-48-Jaggaiahpeta,Mangollu,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
23,06-D-48-02,Kri-D-48-Jaggaiahpeta,V.B.Palem,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
24,06-D-49-01,Kri-D-49-Vatsavai,Indugupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
25,06-D-49-01,Kri-D-49-Vatsavai,Pedamodupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
26,06-D-49-01,Kri-D-49-Vatsavai,Chinmodupalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
27,06-D-49-01,Kri-D-49-Vatsavai,Kanneveedu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
28,06-D-49-01,Kri-D-49-Vatsavai,Gopinenipalem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
29,06-D-49-01,Kri-D-49-Vatsavai,Chityala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
